day_index,date,position_id,underlying,product_type,quantity,market_value,pnl
0,2024-06-01,194c952a-c9b2-4aca-bc5d-5b22a8dc65ca,AAPL,EuropeanVanillaOption,100,1433.541135523307,583.541135523307
0,2024-06-01,a839e43a-f941-4dc8-a398-05f725b0c234,AAPL,EuropeanVanillaOption,50,562.988887873766,402.98888787376603
1,2024-06-02,194c952a-c9b2-4aca-bc5d-5b22a8dc65ca,AAPL,EuropeanVanillaOption,100,1067.1852314495013,217.18523144950126
1,2024-06-02,a839e43a-f941-4dc8-a398-05f725b0c234,AAPL,EuropeanVanillaOption,50,596.8938800473993,436.8938800473993
2,2024-06-03,194c952a-c9b2-4aca-bc5d-5b22a8dc65ca,AAPL,EuropeanVanillaOption,100,755.4366482419127,-94.56335175808732
2,2024-06-03,a839e43a-f941-4dc8-a398-05f725b0c234,AAPL,EuropeanVanillaOption,50,645.8772663031397,485.8772663031397
3,2024-06-04,194c952a-c9b2-4aca-bc5d-5b22a8dc65ca,AAPL,EuropeanVanillaOption,100,796.2551611150261,-53.744838884973944
3,2024-06-04,a839e43a-f941-4dc8-a398-05f725b0c234,AAPL,EuropeanVanillaOption,50,518.4853140279226,358.4853140279227
4,2024-06-05,194c952a-c9b2-4aca-bc5d-5b22a8dc65ca,AAPL,EuropeanVanillaOption,100,857.0478853058098,7.047885305809842
4,2024-06-05,a839e43a-f941-4dc8-a398-05f725b0c234,AAPL,EuropeanVanillaOption,50,401.0761418719312,241.0761418719312
5,2024-06-06,194c952a-c9b2-4aca-bc5d-5b22a8dc65ca,AAPL,EuropeanVanillaOption,100,942.0297572766799,92.0297572766799
5,2024-06-06,a839e43a-f941-4dc8-a398-05f725b0c234,AAPL,EuropeanVanillaOption,50,295.97837501494337,135.9783750149434
6,2024-06-07,194c952a-c9b2-4aca-bc5d-5b22a8dc65ca,AAPL,EuropeanVanillaOption,100,1056.461149125937,206.46114912593703
6,2024-06-07,a839e43a-f941-4dc8-a398-05f725b0c234,AAPL,EuropeanVanillaOption,50,205.6148309490428,45.61483094904282
